"File","LocalBusiness","FAQPage","JsonLD"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\alarme-de-incendio-comercial-escritorio-sp\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\alarme-de-incendio-escola-faculdade-sp\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\alarme-de-incendio-galpao-industrial-sp\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\alarme-de-incendio-hospital-clinica-sp\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\alarme-de-incendio-para-condominio-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb\page.tsx","True","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-centro-sao-paulo\page.tsx","False","False","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-comercial-escritorio-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-condominio-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-escola-faculdade-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-galpao-industrial-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-hospital-clinica-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-itaim-bibi\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-jabaquara\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-moema\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-para-academia-sao-paulo\page.tsx","False","True","True"
"C:\Users\Administrador\OneDrive\?rea de Trabalho\site SEO\src\app\avcb-para-casa-de-repouso-sao-paulo\page.tsx","False","True","True"
